elapsed_sec,frame_ms,draw_calls
17.030,15.129,0
17.047,17.052,0
17.063,16.538,0
17.080,16.685,0
17.096,16.483,0
17.113,16.758,0
17.130,16.655,0
17.146,16.656,0
17.163,16.829,0
17.180,16.549,0
17.197,16.702,0
17.213,16.642,0
17.230,16.783,0
17.247,16.623,0
17.264,16.973,0
17.280,16.348,0
17.297,17.319,0
17.313,16.239,0
17.330,16.633,0
17.347,16.490,0
17.363,16.763,0
17.380,16.760,0
17.397,16.777,0
17.414,16.631,0
17.430,16.680,0
17.447,16.706,0
17.464,16.686,0
17.480,16.455,0
17.497,16.795,0
17.514,16.645,0
17.530,16.853,0
17.547,16.657,0
17.564,16.580,0
17.580,16.549,0
17.597,16.736,0
17.614,16.822,0
17.630,16.506,0
17.647,16.913,0
17.664,16.667,0
17.680,16.472,0
17.697,16.688,0
17.714,16.691,0
17.730,16.660,0
17.747,16.696,0
17.764,16.679,0
17.781,16.908,0
17.797,16.719,0
17.814,16.664,0
17.830,16.515,0
17.847,16.616,0
17.864,16.698,0
17.880,16.647,0
17.897,16.669,0
17.914,16.616,0
17.930,16.763,0
17.947,16.632,0
17.964,16.603,0
17.980,16.768,0
17.997,16.683,0
18.014,16.793,0
18.031,16.834,0
18.047,16.405,0
18.064,16.886,0
18.081,16.744,1
18.098,16.877,1
18.114,16.215,2
18.131,16.751,2
18.147,16.802,2
18.164,16.556,3
18.181,16.787,3
18.197,16.562,4
18.214,16.646,4
18.231,16.663,4
18.248,16.879,5
18.264,16.753,5
18.281,16.454,6
18.298,16.903,6
18.314,16.482,6
18.331,16.733,7
18.348,16.618,7
18.364,16.564,9
18.381,16.740,10
18.398,16.713,12
18.414,16.674,15
18.431,16.690,15
18.448,16.642,20
18.464,16.711,21
18.481,16.659,24
18.498,16.674,26
18.514,16.698,26
18.531,16.893,31
18.548,16.458,32
18.564,16.714,32
18.581,16.670,37
18.598,16.699,37
18.614,16.681,39
18.631,16.825,40
18.648,16.532,43
18.665,16.784,46
18.681,16.479,47
18.698,16.864,50
18.715,16.626,54
18.731,16.793,53
18.748,16.502,58
18.764,16.678,58
18.781,16.830,61
18.798,16.514,63
18.814,16.631,63
18.831,16.860,66
18.848,16.538,70
18.865,16.646,74
18.881,16.717,76
18.898,16.751,77
18.915,16.817,77
18.931,16.503,80
18.948,16.861,79
18.965,16.462,81
18.981,16.832,82
18.998,16.518,85
19.015,16.898,90
19.031,16.608,93
19.048,16.564,96
19.065,16.830,99
19.081,16.566,97
19.098,16.713,103
19.115,16.671,104
19.131,16.685,105
19.148,16.599,106
19.165,16.685,106
19.182,16.785,111
19.198,16.727,112
19.215,16.539,120
19.232,16.841,123
19.248,16.507,120
19.265,16.699,126
19.282,16.700,128
19.298,16.713,125
19.315,16.619,127
19.332,16.932,128
19.348,16.466,134
19.365,16.688,136
19.382,16.679,139
19.399,16.866,144
19.415,16.560,143
19.432,16.559,142
19.448,16.754,147
19.465,16.709,148
19.482,16.571,150
19.499,16.845,150
19.515,16.559,151
19.532,16.870,156
19.548,16.494,159
19.565,16.649,167
19.582,16.976,169
19.599,16.470,165
19.615,16.725,171
19.632,16.693,172
19.649,16.816,171
19.665,16.445,171
19.682,16.936,170
19.698,16.117,176
19.716,17.257,177
19.732,16.124,185
19.749,16.938,189
19.765,16.707,184
19.782,16.659,190
19.799,16.669,190
19.815,16.792,192
19.832,16.884,193
19.849,16.371,193
19.866,16.923,193
19.882,16.340,197
19.899,16.996,206
19.915,16.185,210
19.932,16.965,211
19.949,16.672,207
19.965,16.708,213
19.982,16.747,212
19.999,16.556,211
20.015,16.703,213
20.032,16.677,213
