elapsed_sec,frame_ms,draw_calls
5.628,10.016,496
5.636,8.168,493
5.645,8.994,487
5.655,9.551,482
5.668,12.700,481
5.679,11.495,479
5.689,9.939,480
5.696,6.894,489
5.708,12.549,489
5.721,12.477,488
5.729,8.035,483
5.741,11.759,483
5.753,12.307,485
5.766,13.090,481
5.779,12.747,478
5.791,12.119,485
5.800,9.326,485
5.811,10.434,481
5.824,13.238,480
5.835,11.321,470
5.847,12.100,469
5.859,11.504,463
5.868,8.920,472
5.877,9.073,473
5.886,8.931,472
5.898,12.108,471
5.910,12.278,472
5.923,13.030,471
5.935,12.204,468
5.947,11.363,463
5.955,8.220,469
5.967,11.538,470
5.980,13.515,470
5.992,11.810,464
6.003,11.458,454
6.015,11.781,453
6.026,11.052,451
6.035,8.583,457
6.046,11.653,460
6.057,10.842,461
6.072,14.270,460
6.082,10.709,455
6.098,15.748,458
6.109,11.010,456
6.120,11.076,451
6.132,11.974,459
6.143,11.326,459
6.153,9.999,457
6.166,12.496,453
6.177,10.865,441
6.187,10.302,440
6.197,10.432,444
6.209,11.981,448
6.222,12.965,447
6.230,7.979,446
6.241,10.512,445
6.251,10.323,443
6.263,12.089,446
6.274,10.629,444
6.283,9.473,440
6.297,13.127,440
6.308,11.970,442
6.319,10.153,443
6.330,10.939,439
6.341,11.592,433
6.351,9.764,426
6.362,10.821,426
6.374,12.036,429
6.382,7.840,435
6.392,10.404,432
6.403,10.556,431
6.415,12.555,430
6.426,11.291,427
6.434,7.235,428
6.446,12.559,427
6.458,12.062,424
6.467,8.469,423
6.481,13.812,427
6.492,11.419,428
6.503,11.092,425
6.514,11.156,420
6.528,13.548,412
6.538,10.159,410
6.550,12.084,415
6.559,8.955,415
6.569,9.619,416
6.579,10.363,414
6.592,13.057,412
6.602,10.470,416
6.612,9.870,414
6.621,8.730,413
6.631,9.906,407
6.644,12.780,411
6.652,8.333,412
6.661,8.950,414
6.670,8.980,412
6.681,10.620,407
6.692,11.299,397
6.701,9.254,397
6.711,10.234,398
6.719,7.569,402
6.730,10.557,400
6.742,12.753,401
6.753,10.598,402
6.764,11.571,401
6.776,11.093,398
6.786,9.984,400
6.796,10.394,401
6.805,9.077,399
6.815,10.261,401
6.828,12.701,403
6.838,9.546,403
6.848,10.916,400
6.862,13.688,398
6.873,11.230,390
6.886,12.264,389
6.898,12.368,389
6.909,10.735,389
6.918,8.974,388
6.928,10.166,388
6.939,11.149,386
6.951,11.910,387
6.961,10.147,387
6.971,9.441,386
6.984,13.437,382
6.994,9.535,386
7.004,10.860,385
7.015,10.964,385
7.027,11.760,376
7.039,12.081,370
7.051,11.587,369
7.060,9.702,370
7.071,10.160,377
7.084,13.028,374
7.094,10.770,373
7.104,9.111,373
7.111,7.437,370
7.119,7.839,372
7.128,9.484,373
7.140,11.348,373
7.151,11.190,370
7.163,12.159,373
7.175,11.821,375
7.187,12.586,372
7.198,10.156,369
7.209,11.766,361
7.220,10.595,360
7.232,12.441,357
7.243,10.972,361
7.255,12.072,359
7.263,8.004,358
7.273,10.053,359
7.284,10.255,356
7.296,12.626,358
7.308,11.334,357
7.320,11.836,353
7.330,10.420,349
7.341,11.319,356
7.349,7.881,356
7.361,11.542,356
7.371,10.463,349
7.384,12.468,340
7.394,10.293,339
7.403,8.645,339
7.414,11.931,341
7.426,11.099,345
7.437,11.136,346
7.447,9.920,345
7.457,10.633,343
7.466,9.066,344
7.477,10.195,346
7.486,9.925,346
7.496,9.942,340
7.505,8.591,348
7.537,32.377,348
7.545,7.961,344
7.556,10.414,335
7.565,9.449,334
7.575,10.173,334
7.589,13.721,329
7.604,14.625,332
7.615,11.303,332
7.624,9.246,329
7.633,8.355,331
7.645,12.647,332
7.659,14.073,329
7.670,11.130,324
7.679,8.703,327
7.690,10.419,328
7.700,10.010,328
7.711,11.067,326
7.724,13.164,320
7.739,15.251,314
7.752,12.877,313
7.762,9.744,317
7.771,9.286,320
7.781,10.515,320
7.794,12.162,317
7.805,11.090,315
7.817,12.085,316
7.826,9.566,315
7.837,10.366,312
7.848,10.810,309
7.858,10.495,317
7.870,12.240,316
7.883,12.745,313
7.891,8.428,311
7.900,8.522,302
7.911,10.928,301
7.921,10.480,300
7.932,10.632,302
7.941,8.811,303
7.952,11.001,296
7.961,9.582,296
7.972,10.442,295
7.984,12.239,297
7.994,9.711,295
8.005,11.124,295
8.016,10.782,290
8.026,10.653,296
8.039,12.420,297
8.050,10.904,296
8.061,11.668,288
8.072,10.708,282
8.082,9.447,282
8.093,11.394,282
8.104,10.741,284
8.116,12.277,286
8.125,9.473,282
8.138,12.104,281
8.149,11.408,279
8.162,12.695,282
8.174,12.218,282
8.184,9.755,278
8.194,10.520,275
8.206,12.133,282
8.218,11.779,282
8.228,9.549,277
8.237,9.746,277
8.249,11.279,266
8.258,9.026,265
8.269,11.263,266
8.280,11.209,264
8.292,12.048,264
8.303,10.989,263
8.311,7.500,261
8.323,12.222,262
8.334,11.201,265
8.343,8.452,263
8.353,10.402,259
8.364,11.564,257
8.376,11.667,262
8.387,10.986,259
8.397,9.758,256
8.409,12.118,250
8.419,10.074,245
8.430,11.190,244
8.441,10.879,244
8.453,11.838,247
8.464,11.470,248
8.476,11.971,247
8.485,8.922,248
8.496,10.360,243
8.507,11.512,247
8.519,11.853,246
8.531,12.034,243
8.540,8.650,240
8.555,15.619,246
8.568,12.676,243
8.582,14.042,240
8.593,10.452,230
8.605,12.141,229
8.614,9.133,225
8.624,9.741,229
8.633,9.601,229
8.642,8.525,228
8.654,12.569,227
8.668,13.521,226
8.680,12.033,230
8.692,11.954,227
8.701,9.231,222
8.708,7.223,224
8.716,7.843,227
8.725,9.258,226
8.736,10.467,225
8.749,13.450,221
8.760,11.248,213
8.768,7.526,213
8.775,6.652,211
8.783,8.498,210
8.793,10.092,210
8.803,10.221,213
8.812,8.118,213
8.819,7.656,212
8.828,8.309,211
8.837,9.853,206
8.849,11.516,210
8.864,14.805,210
8.876,11.992,206
8.884,8.451,208
8.896,11.834,209
8.908,12.314,209
8.918,9.405,204
8.930,12.180,204
8.942,12.518,196
8.952,9.333,193
8.963,11.490,196
8.972,9.060,201
8.983,10.402,203
8.993,10.553,203
9.004,10.719,205
9.014,10.361,210
9.025,10.819,213
9.034,8.919,211
9.046,11.485,207
9.058,12.133,210
9.068,10.134,213
9.079,11.544,213
9.089,9.522,210
9.100,11.106,207
9.110,9.562,200
9.118,8.287,202
9.130,11.643,202
9.141,11.736,206
9.148,6.956,208
9.158,10.170,209
9.168,9.749,209
9.182,13.821,206
9.194,12.336,210
9.206,12.193,210
9.217,10.714,207
9.229,11.457,206
9.239,10.315,210
9.251,11.788,209
9.262,11.165,205
9.272,10.189,203
9.284,11.809,195
9.295,10.674,191
9.305,10.187,190
9.315,10.524,192
9.327,11.227,192
9.341,14.518,191
9.355,13.681,191
9.364,9.350,194
9.375,11.293,193
9.386,11.105,189
9.396,9.278,187
9.406,9.914,191
9.417,11.782,190
9.426,8.789,189
9.434,7.550,185
9.446,11.775,181
9.458,12.028,177
9.469,11.381,178
9.478,9.037,180
9.489,10.986,183
9.500,11.279,187
9.510,10.076,189
9.522,11.448,190
9.536,13.742,189
9.545,9.797,194
9.552,7.170,195
9.563,10.213,192
9.572,9.699,192
9.582,9.619,197
9.591,8.798,197
9.601,10.184,196
9.614,12.779,194
9.625,11.492,189
9.635,9.868,189
9.646,11.225,187
9.656,9.327,186
9.666,10.080,187
9.677,11.147,186
9.688,11.497,187
